name,ipc,cycles,empty,stalls,lost,lost_other,bad_spec,stall_be,stall_l1d,stall_be_core,stall_fe,stall_l1i,stall_fe_core,ret_inst,ret_simd,ret_int,ret_ctrl_flow_br,bp_miss,l1i_ref,l1i_miss,l1d_ref,l1d_miss,l1i_hit,l1d_hit,li1_hr,li1_mpki,ld1_hr,ld1_mpki,bp_acc,bp_mpki
mlp_w2a8,0.918,24220,1994,1859,135,69,66,1709,692,1017,150,137,13,22226,11032,11194,893,36,22362,27,6598,114,22335,6484,99.88,1.21,98.27,5.13,95.97,1.62
mlp_w4a8,0.876,25417,3152,3021,131,65,66,2865,1292,1573,156,147,9,22265,9456,12809,904,35,22388,27,8172,212,22361,7960,99.88,1.21,97.41,9.52,96.13,1.57
mlp_w8a8,0.874,25612,3238,3114,124,64,60,2989,2520,469,125,111,14,22374,6304,16070,1172,33,22503,22,11282,415,22481,10867,99.9,0.98,96.32,18.55,97.18,1.47
